country,year,SHADOW (author: WB Informal Economy DB - DGE),SHADOW_MIMIC (author: MIMIC series),TAX,ACCOUNT,DIGPAY,"ATM_per100k (WB, real)",POS_ATM (author: add POS from IMF FAS),CASHLESS_VAL (author: IMF FAS),"CASH (author: currency/M2, IFS/central bank)",GDPPC_USD,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,REG_QUALITY,RULE_OF_LAW,INST,MOBILE_COVERAGE (author: ITU),BROADBAND
Albania,2014,,,18.2081,37.9864,22.4609,34.8217,,,,4045.1193,75.0212,18.055,1.6259,10.6872,54.7326,115.7006,0.0565,-0.2764,-0.1099,,7.1619
Albania,2015,,,18.3813,,,35.3967,,,,4199.5391,71.2794,17.193,1.8962,11.2541,55.1579,117.3297,0.0444,-0.2268,-0.0912,,8.3788
Albania,2016,,,17.4032,,,34.1739,,,,4431.5564,74.0145,15.418,1.2754,10.8937,55.5739,116.284,0.0643,-0.2062,-0.0709,,9.1922
Albania,2017,,,18.5477,40.0152,28.8224,31.813,,,,4648.2308,76.7874,13.616,1.9867,9.8944,55.9803,125.0999,0.1105,-0.2057,-0.0476,,10.4757
Albania,2018,,,18.277,,,30.7623,,,,4893.8238,75.6941,12.304,2.0281,9.4815,56.377,93.8031,0.114,-0.1744,-0.0302,,12.5058
Albania,2019,,,17.931,,,30.1141,,,,5072.4365,75.3821,11.466,1.4111,9.4501,56.7639,91.1635,0.0917,-0.2914,-0.0998,,15.1193
Albania,2020,,,16.8955,,,31.5303,,,,4980.617,59.5207,11.639,1.6209,9.6184,57.1409,91.1881,-0.0196,-0.2567,-0.1381,,17.7209
Albania,2021,,,18.0962,44.1742,34.5529,35.3799,,,,5511.7574,75.5904,11.474,2.0415,9.5295,57.5077,92.4843,-0.0049,-0.2016,-0.1032,,19.6304
Albania,2022,,,18.0608,,,37.1852,,,,5867.651,84.698,10.785,6.7252,9.1772,57.8643,98.395,0.0156,-0.131,-0.0577,,20.6989
Armenia,2004,,,13.9964,,,2.8788,,,,1955.2226,73.0706,10.676,6.9613,22.0186,64.5973,6.7264,0.1844,-0.2471,-0.0313,,0.0331
Armenia,2005,,,14.3357,,,4.6806,,,,2240.0927,70.1397,10.584,0.6389,18.6764,64.5334,10.5791,0.1206,-0.333,-0.1062,,0.0662
Armenia,2006,,,14.396,,,7.2341,,,,2551.4355,61.0301,10.497,2.8924,18.3128,64.4759,42.1272,0.2208,-0.4594,-0.1193,,
Armenia,2007,,,15.9625,,,13.5599,,,,2919.3735,56.975,10.394,4.4074,17.8614,64.4258,63.0765,0.2437,-0.3906,-0.0735,,0.1311
Armenia,2008,,,17.3218,,,21.6261,,,,3141.3319,54.5423,17.1,8.95,16.327,64.3841,48.7164,0.3915,-0.3349,0.0283,,0.4662
Armenia,2009,,,16.5059,,,28.3717,,,,2716.9744,57.2742,19.295,3.4068,16.6492,64.352,74.4012,0.4086,-0.4333,-0.0123,,1.3542
Armenia,2010,,,17.0701,,,32.1122,,,,2796.0814,64.643,19.523,8.1764,18.0268,64.3304,131.8748,0.3844,-0.4413,-0.0285,,3.1929
Armenia,2011,,,17.2194,17.4869,,41.3216,,,,2943.8369,69.4356,18.884,7.65,17.7342,64.3207,109.8501,0.371,-0.387,-0.008,,5.4929
Armenia,2012,,,17.4916,,,48.0384,,,,3159.7586,75.9617,17.511,2.558,18.033,64.3268,113.6974,0.4081,-0.3573,0.0254,,7.2558
Armenia,2013,,,21.5862,,,51.6859,,,,3266.2988,77.555,16.576,5.7897,19.7114,64.3584,114.4997,0.3442,-0.302,0.0211,,8.3167
Armenia,2014,,,21.5992,17.6691,12.2709,57.4444,,,,3393.0925,75.7789,17.498,2.9813,17.9044,64.4143,118.3654,0.1234,-0.4145,-0.1455,,9.3376
Armenia,2015,,,20.9312,,,58.9939,,,,3512.3935,71.6821,18.261,3.7317,14.1327,64.493,118.5991,0.2129,-0.3963,-0.0917,,9.8015
Armenia,2016,,,21.2774,,,60.0613,,,,3533.885,76.078,17.617,-1.4036,13.1075,64.5929,117.6708,0.2425,-0.3081,-0.0328,,10.2498
Armenia,2017,,,20.7807,47.759,41.5157,63.01,,,,3815.3747,87.2024,17.704,0.9696,13.3477,64.7125,119.6764,0.2658,-0.3193,-0.0267,,10.8173
Armenia,2018,,,20.8701,,,65.0353,,,,4027.8339,92.4731,18.966,2.5202,11.9427,64.8503,123,0.2852,-0.2187,0.0333,,11.9399
Armenia,2019,,,22.2852,,,67.8922,,,,4343.4584,97.847,18.304,1.4434,11.2189,65.0047,124.6137,0.2584,-0.248,0.0052,,13.2819
Armenia,2020,,,21.8604,,,67.8456,,,,4032.0904,70.1214,18.175,1.2114,10.4971,65.1742,120.6824,0.2081,-0.0752,0.0665,,14.8884
Armenia,2021,,,22.001,55.3477,47.4709,70.3431,,,,4264.7996,79.2489,15.469,7.1848,11.2172,65.3573,125.3951,0.1972,-0.1028,0.0472,,16.2566
Armenia,2022,,,21.8272,,,69.6382,,,,4791.0048,103.8786,13.451,8.6409,10.8688,65.5624,130.5401,0.0783,-0.2386,-0.0801,,17.7301
Azerbaijan,2004,,,,,,,,,,2111.4534,121.5071,7.99,6.7089,2.3453,52.2832,17.156,-0.6218,-0.7462,-0.684,,
Azerbaijan,2005,,,,,,,,,,2674.3689,115.8419,7.26,9.6795,4.7053,52.5029,26.0781,-0.5422,-0.7239,-0.6331,,0.0254
Azerbaijan,2006,,,,,,16.8342,,,,3556.8321,105.2624,6.62,8.3289,3.7662,52.654,38.1512,-0.4883,-0.7612,-0.6248,,0.0454
Azerbaijan,2007,,,,,,20.1282,,,,4412.2033,96.6418,6.33,16.6998,3.8359,52.8282,51.1876,-0.4496,-0.716,-0.5828,,0.1654
Azerbaijan,2008,,,16.4212,,,22.5049,,,,4778.1245,89.2429,5.86,20.8491,3.1081,53.0633,73.2222,-0.3764,-0.7537,-0.5651,,0.6709
Azerbaijan,2009,,,14.1067,,,24.4844,,,,5118.434,74.744,5.74,1.457,2.8326,53.1358,85.7487,-0.3327,-0.7674,-0.55,,1.1054
Azerbaijan,2010,,,12.1578,,,26.8972,,,,5300.1105,74.986,5.63,5.7269,2.6655,53.2848,99.489,-0.4635,-0.7874,-0.6255,,5.1963
Azerbaijan,2011,,,12.2248,14.9009,,29.8598,,,,5149.2067,80.508,5.42,7.8583,2.8704,53.5085,109.3338,-0.4419,-0.7606,-0.6013,,10.5213
Azerbaijan,2012,,,12.7786,,,31.282,,,,5193.175,78.2631,5.19,1.0662,2.8562,53.8076,107.9885,-0.4894,-0.7516,-0.6205,,14.6072
Azerbaijan,2013,,,13.3883,,,33.2541,,,,5425.9956,74.6758,4.97,2.4157,2.337,54.1821,106.5832,-0.39,-0.6655,-0.5277,,18.0146
Azerbaijan,2014,,,14.2125,29.1515,20.4165,35.5597,,,,5508.6027,69.4832,4.91,1.3734,2.4541,54.6319,109.5667,-0.277,-0.6479,-0.4625,,19.7076
Azerbaijan,2015,,,15.6032,,,36.473,,,,5500.5036,72.6015,4.96,4.0277,2.3927,55.157,109.6821,-0.2618,-0.7054,-0.4836,,19.4759
Azerbaijan,2016,,,14.5203,,,33.2172,,,,5272.7182,90.0773,5,12.4434,1.6984,55.7575,103.2485,-0.2167,-0.6732,-0.445,,18.2771
