country,year,SHADOW,SELFEMP,DFS_INDEX,ACCOUNT,DIGPAY,ATM_per100k,TAX,LGDPPC,OPEN,UNEMP,INFL,REMIT,URBAN,MOBILE,BROADBAND,INST
Belarus,2016,38.229,7.882,88.69,78.099,74.566,55.449,13.788,8.668,125.209,5.844,11.837,2.046,76.846,120.432,32.293,-0.813
Belarus,2017,37.638,8.126,92.21,81.156,78.652,55.902,13.019,8.694,133.368,5.648,6.032,2.291,77.021,120.213,33.312,-0.821
Belarus,2018,37.519,7.868,81.12,69.602,68.043,54.151,14.673,8.727,139.394,4.763,4.872,2.408,77.213,122.57,33.771,-0.761
Belarus,2019,37.303,7.884,82.93,71.159,69.731,54.904,13.302,8.743,130.85,4.165,5.598,2.203,77.455,123.23,34.072,-0.651
Belarus,2020,36.768,7.573,87.26,75.765,73.588,55.841,12.023,8.741,118.934,4.049,5.548,1.652,77.789,125.165,34.815,-0.772
Georgia,2011,61.623,58.605,38.12,32.981,15.102,51.309,22.661,8.12,85.466,19.632,8.543,9.998,55.69,114.517,6.423,0.349
Georgia,2012,61.438,57.041,45.76,35.209,19.253,63.766,23.088,8.191,89.735,19.653,0.0,10.478,56.168,122.384,12.061,0.44
Georgia,2013,61.083,57.95,50.35,37.437,23.164,68.372,22.063,8.244,93.814,19.416,0.0,11.105,56.618,131.083,13.571,0.425
Georgia,2014,61.048,56.347,52.71,39.665,23.581,71.3,22.053,8.284,94.951,17.439,3.069,11.057,57.024,142.391,15.841,0.586
Georgia,2015,60.877,54.149,60.37,46.854,33.372,70.526,22.348,8.315,97.016,16.506,4.004,9.582,57.38,146.396,16.765,0.575
Georgia,2016,60.128,53.547,69.99,54.042,43.163,74.969,23.042,8.349,94.926,16.604,2.135,9.847,57.698,145.881,17.96,0.658
Georgia,2017,59.836,52.049,78.59,61.23,52.954,76.698,23.014,8.399,102.584,13.939,6.035,10.89,58.0,145.072,20.464,0.582
Georgia,2018,59.42,49.596,81.39,63.547,55.257,78.355,22.048,8.458,109.848,12.667,2.615,11.363,58.304,143.858,22.591,0.534
Georgia,2019,58.792,50.148,86.38,65.865,57.56,85.906,22.897,8.512,117.81,11.565,4.853,12.803,58.63,141.755,24.681,0.546
Georgia,2020,58.187,49.912,90.67,68.182,59.863,91.57,21.181,8.447,92.891,11.734,5.202,13.176,58.999,134.366,25.512,0.532
Kazakhstan,2011,37.715,32.454,53.84,42.105,29.447,63.983,18.258,9.129,73.118,5.39,8.453,0.093,54.4,147.901,6.993,-0.449
Kazakhstan,2012,37.598,31.351,59.65,46.039,34.928,67.719,13.312,9.162,73.724,5.29,5.196,0.136,54.692,174.709,9.461,-0.489
Kazakhstan,2013,37.576,30.42,64.8,49.973,40.468,69.627,16.03,9.206,65.408,5.2,5.943,0.144,55.078,172.955,11.157,-0.509
Kazakhstan,2014,36.896,28.674,70.06,53.907,46.735,70.948,14.193,9.233,64.972,5.06,6.849,0.181,55.552,160.503,12.056,-0.373
Kazakhstan,2015,36.97,26.963,71.54,55.504,49.115,69.926,9.836,9.23,53.05,4.93,6.678,0.16,56.111,145.482,12.724,-0.282
